strain,date,DaysSinceRoot,Mutations
HongKong/HKU-220213-416/2022,1/28/22,764,77
HongKong/HKU-220326-002/2022,2/17/22,784,76
HongKong/HKU-220326-007/2022,2/17/22,784,76
HongKong/HKU-220326-013/2022,2/17/22,784,76
HongKong/HKU-220326-051/2022,2/19/22,786,76
HongKong/HKU-220326-053/2022,2/10/22,777,77
HongKong/HKU-220326-056/2022,2/19/22,786,76
HongKong/HKU-220326-064/2022,3/11/22,806,78
HongKong/HKU-220326-066/2022,2/7/22,774,76
HongKong/HKU-220326-088/2022,3/2/22,797,76
HongKong/HKU-220326-089/2022,2/22/22,789,78
HongKong/HKU-220326-091/2022,2/22/22,789,77
HongKong/HKU-220326-105/2022,2/24/22,791,76
HongKong/HKU-220326-126/2022,2/20/22,787,78
HongKong/HKU-220326-138/2022,2/27/22,794,77
HongKong/HKU-220326-140/2022,2/27/22,794,80
HongKong/HKU-220326-147/2022,2/28/22,795,77
HongKong/HKU-220326-150/2022,3/1/22,796,78
HongKong/HKU-220326-152/2022,3/1/22,796,77
HongKong/HKU-220326-153/2022,3/1/22,796,77
HongKong/HKU-220326-155/2022,3/1/22,796,76
HongKong/HKU-220326-156/2022,3/1/22,796,77
HongKong/HKU-220326-157/2022,3/3/22,798,76
HongKong/HKU-220326-159/2022,3/4/22,799,76
HongKong/HKU-220326-161/2022,3/7/22,802,77
HongKong/HKU-220326-162/2022,3/7/22,802,77
HongKong/HKU-220326-163/2022,3/7/22,802,77
HongKong/HKU-220326-164/2022,3/7/22,802,76
HongKong/HKU-220326-168/2022,3/7/22,802,78
HongKong/HKU-344/2021,11/27/21,702,55
HongKong/WHP5074/2021,11/18/21,693,53
Iceland/1241/2020,3/24/20,89,7
Iceland/13/2020,2/27/20,63,6
Iceland/3653/2020,1/5/21,376,22
Iceland/4325/2020,12/20/20,360,32
Iceland/5155/2020,12/23/20,363,25
IND/GBRC361a/2020,6/5/20,162,14
IND/GBRC507b/2020,12/14/20,354,22
IND/GBRC588/2021,2/2/21,404,26
IND/GBRC788/2021,5/14/21,505,38
IND/hospital_2_307/2021,4/19/21,480,35
IND/INSACOG-GBRC1592/2021,8/13/21,596,30
IND/LNHD139/2022,1/18/22,754,76
IND/LNHD140/2022,1/18/22,754,76
IND/LNHD141/2022,1/18/22,754,76
IND/LNHD150/2022,1/18/22,754,74
IND/LNHD151/2022,1/18/22,754,79
IND/LNHD155/2022,1/18/22,754,77
IND/LNHD173/2022,1/18/22,754,84
IND/LNHD175/2022,1/18/22,754,77
IND/LNHD176/2022,1/18/22,754,74
IND/LNHD184/2022,1/18/22,754,77
IRL/52-U-1219-21/2022,2/3/22,770,61
IRL/54-AG-705/2022,1/28/22,764,63
IRL/69-XY-301459/2022,1/26/22,762,77
IRL/70-AT-01/2022,2/2/22,769,74
IRL/90-R-7866/2022,2/14/22,781,80
IRL/AIIDV1446/2020,12/3/20,343,17
IRL/AIIDV1752/2021,2/24/21,426,28
IRL/AIIDW008/2020,12/21/20,361,36
IRN/3533/2020,10/10/20,289,19
IRQ/Thi-Qar-8/2021,4/27/21,488,37
ISR/hCov-19-Israel-CVL-n4115/2020,3/11/20,76,7
ISR/hCov-19-Israel-CVL-n896/2020,2/27/20,63,9
ISR/NH_GD1/2020,7/14/20,201,13
ITA/201109-49/2020,10/27/20,306,23
ITA/73702/2020,2/28/20,64,5
ITA/INMI1-B1/2020,2/12/20,48,3
ITA/Nuoro-CoV134/2020,4/28/20,124,8
ITA/PA-IZSBM193-85_2020/2020,6/29/20,186,18
ITA/Padova_02/2021,8/17/21,600,42
ITA/Padova_03/2022,2/20/22,787,54
ITA/SARS-CoV-2humanITATUS-Siena-0435435/2022,5/11/22,867,82
ITA/SARS-CoV-2humanITATUS-Siena-0435943/2022,5/19/22,875,85
ITA/SARS-CoV-2humanITATUS-Siena-0436626/2022,6/6/22,893,79
ITA/SARS-CoV-2humanITATUS-Siena-0436765/2022,7/6/22,923,84
ITA/Siena_15/2020,5/14/20,140,5
JAM/JPL1650802/2021,12/1/21,706,40
Japan/Donner465/2020,10/27/20,306,20
Japan/DP0289/2020,2/16/20,52,1
Japan/PG-222680/2022,3/24/22,819,62
Japan/PG-232549/2022,4/9/22,835,62
Japan/PG-232552/2022,4/10/22,836,76
Japan/PG-235179/2022,4/19/22,845,59
Japan/PG-242245/2022,4/26/22,852,80
Japan/PG-242247/2022,4/26/22,852,78
Japan/PG-243858/2022,5/1/22,857,77
Japan/PG-243864/2022,5/2/22,858,80
Japan/PG-247746/2022,5/10/22,866,77
Japan/PG-247751/2022,5/12/22,868,79
Japan/PG-250556/2022,5/17/22,873,80
Japan/PG-250567/2022,5/20/22,876,77
Japan/PG-252882/2022,5/22/22,878,76
Japan/PG-256384/2022,6/1/22,888,80
Japan/PG-256385/2022,6/1/22,888,75
Japan/PG-256386/2022,6/2/22,889,81
Japan/PG-256392/2022,6/5/22,892,82
Japan/PG-264431/2022,6/7/22,894,83
Japan/PG-264432/2022,6/7/22,894,78
Japan/PG-264436/2022,6/19/22,906,75
Japan/PG-264440/2022,6/23/22,910,81
Japan/PG-264444/2022,6/26/22,913,81
Japan/PG-264445/2022,6/26/22,913,80
Japan/SZ-NIG-21599/2021,5/2/21,493,31
Japan/SZ-NIG-216632/2022,1/27/22,763,59
Japan/SZ-NIG-216959/2022,3/15/22,810,60
Japan/SZ-NIG-3-C13091/2021,11/11/21,686,40
Japan/SZ-NIG-4-C1424/2022,1/19/22,755,59
Japan/SZ-NIG-4-C1965/2022,1/25/22,761,57
Japan/SZ-NIG-4-C2331/2022,1/29/22,765,59
Japan/SZ-NIG-4-C3512/2022,2/12/22,779,61
Japan/SZ-NIG-4-C3690/2022,2/13/22,780,61
Japan/SZ-NIG-4-C3836/2022,2/14/22,781,63
Japan/SZ-NIG-4-C4383/2022,2/18/22,785,60
Japan/SZ-NIG-4-C4778/2022,2/22/22,789,57
Japan/SZ-NIG-4-C4907/2022,2/24/22,791,60
Japan/SZ-NIG-4-C4927/2022,2/24/22,791,57
Japan/SZ-NIG-4-C5008/2022,2/25/22,792,59
Japan/SZ-NIG-4-C5086/2022,2/27/22,794,57
Japan/SZ-NIG-4-C5087/2022,2/27/22,794,58
Japan/SZ-NIG-4-C5212/2022,3/1/22,796,59
Japan/SZ-NIG-4-C5295/2022,3/3/22,798,60
Japan/SZ-NIG-4-C5329/2022,3/3/22,798,59
Japan/SZ-NIG-4-C5410/2022,3/5/22,800,58
Japan/SZ-NIG-4-C6198/2022,3/22/22,817,79
Japan/SZ-NIG-Y211013/2021,7/28/21,580,38
Japan/SZ-NIG-Y212245/2022,1/5/22,741,57
Japan/SZ-NIG-Y212270/2022,1/6/22,742,57
Japan/SZ-NIG-Y212638/2022,1/17/22,753,56
Japan/SZ-NIG-Y212716/2022,1/18/22,754,57
Japan/SZ-NIG-Y212808/2022,1/20/22,756,56
Japan/SZ-NIG-Y212825/2022,1/20/22,756,55
Japan/SZ-NIG-Y212900/2022,1/21/22,757,55
Japan/SZ-NIG-Y213113/2022,1/25/22,761,58
Japan/SZ-NIG-Y213139/2022,1/27/22,763,59
Japan/SZ-NIG-Y213144/2022,1/27/22,763,57
Japan/SZ-NIG-Y213201/2022,1/27/22,763,57
Japan/SZ-NIG-Y213263/2022,1/29/22,765,57
Japan/SZ-NIG-Y213294/2022,1/31/22,767,58
Japan/SZ-NIG-Y213502/2022,2/9/22,776,58
Japan/SZ-NIG-Y213567/2022,2/14/22,781,48
Japan/SZ-NIG-Y213847/2022,2/25/22,792,62
Japan/SZ-NIG-Y213854/2022,2/28/22,795,58
Japan/SZ-NIG-Y213905/2022,3/2/22,797,61
Japan/SZ-NIG-Y214016/2022,3/9/22,804,75
Japan/SZ-NIG-Y214026/2022,3/10/22,805,80
Japan/SZ-NIG-Y214065/2022,3/14/22,809,80
Japan/SZ-NIG-Y214073/2022,3/14/22,809,60
Japan/SZ-NIG-Y214154/2022,3/22/22,817,80
Japan/SZ-NIG-Y21449/2021,6/17/21,539,34
Japan/SZ-NIG-Y220015/2022,3/30/22,825,77
Japan/SZ-NIG-Y220037/2022,4/2/22,828,79
Japan/SZ-NIG-Y220039/2022,4/4/22,830,81
Japan/SZ-NIG-Y220073/2022,4/8/22,834,76
Japan/SZ-NIG-Y220081/2022,4/11/22,837,60
Japan/SZ-NIG-Y220106/2022,4/12/22,838,61
Japan/SZ-NIG-Y220120/2022,4/13/22,839,82
Japan/SZ-NIG-Y220121/2022,4/13/22,839,80
Japan/SZ-NIG-Y220174/2022,4/20/22,846,80
Japan/SZ-NIG-Y220197/2022,4/25/22,851,81
Japan/SZ-NIG-Y220230/2022,5/1/22,857,83
Japan/SZ-NIG-Y220256/2022,5/7/22,863,82
Japan/SZ-NIG-Y220285/2022,5/10/22,866,79
Japan/SZ-NIG-Y220297/2022,5/10/22,866,87
Japan/SZ-NIG-Y220318/2022,5/12/22,868,78
Japan/SZ-NIG-Y220347/2022,5/18/22,874,76
Japan/SZ-NIG-Y220403/2022,5/26/22,882,84
Japan/SZ-NIG-Y220438/2022,6/6/22,893,79
Japan/SZ-NIG-Y220443/2022,6/9/22,896,76
Japan/SZ-NIG-Y220446/2022,6/10/22,897,76
Japan/SZ-NIG-Y220449/2022,6/12/22,899,80
JOR/SEARCH-0051-JOR/2020,4/4/20,100,6
JPN/HiroC178c/2021,10/22/21,666,43
JPN/JP_HiroHC021c/2020,4/13/20,109,9
KEN/C102374/2021,7/2/21,554,34
KEN/C115415/2022,2/23/22,790,58
KEN/C116840/2022,4/20/22,846,75
KEN/C117128/2022,5/16/22,872,75
KEN/C117453/2022,6/7/22,894,80
KEN/C117644/2022,6/14/22,901,88
KEN/C117680/2022,6/14/22,901,87
KEN/C117773/2022,6/17/22,904,80
KEN/C117780/2022,6/17/22,904,84
KEN/C117913/2022,6/22/22,909,84
KEN/C117916/2022,6/22/22,909,89
KEN/C17469/2020,6/13/20,170,8
KEN/C71404/2020,11/12/20,322,15
KEN/C88566/2021,3/23/21,453,25
KEN/C91623/2021,4/13/21,474,38
KEN/C96568/2021,5/16/21,507,34
KEN/CBRD46/2021,3/17/21,447,38
KEN/NIC_569/2020,3/29/20,94,8
KEN/SS2901/2021,1/6/21,377,20
KEN/SS4154/2021,11/8/21,683,40
KEN/SS4992/2022,2/19/22,786,55
KEN/SS4993/2022,2/19/22,786,55
KEN/SS5163/2021,12/15/21,720,55
KEN/SS5973/2022,1/24/22,760,56
KEN/SS6026/2022,2/9/22,776,55
KEN/SS6138/2022,1/21/22,757,56
KEN/SS6303/2022,1/22/22,758,55
KEN/SS6308/2022,2/2/22,769,75
KEN/SS6309/2022,2/2/22,769,75
KEN/SS6312/2022,2/9/22,776,77
KEN/SS6341/2022,2/24/22,791,61
KEN/SS6654/2022,1/18/22,754,56
KEN/SS6655/2022,1/18/22,754,59
KEN/SS6662/2022,1/18/22,754,56
KEN/SS6673/2022,1/18/22,754,56
KEN/SS6678/2022,1/20/22,756,55
KEN/SS6686/2022,1/25/22,761,57
KEN/SS6687/2022,1/25/22,761,55
KEN/SS6780/2022,1/18/22,754,74
KEN/SS6781/2022,1/18/22,754,56
KEN/SS6785/2022,1/19/22,755,57
KEN/SS6786/2022,1/19/22,755,55
KEN/SS6870/2022,1/19/22,755,58
KEN/SS6872/2022,1/19/22,755,55
KEN/SS6874/2022,1/19/22,755,56
KEN/SS6879/2022,1/20/22,756,57
KEN/SS6880/2022,1/20/22,756,56
KEN/SS6881/2022,1/20/22,756,58
KEN/SS6891/2022,1/18/22,754,55
KEN/SS6894/2022,1/18/22,754,57
KEN/SS6900/2022,1/23/22,759,73
KEN/SS6905/2022,2/3/22,770,58
KEN/SS6906/2022,2/3/22,770,58
KEN/SS6907/2022,2/3/22,770,58
KEN/SS6929/2022,1/21/22,757,55
KEN/SS6947/2022,1/22/22,758,75
KEN/SS6950/2022,1/26/22,762,56
KEN/SS6951/2022,1/26/22,762,57
KEN/SS6955/2022,1/27/22,763,58
KEN/SS6957/2022,1/27/22,763,57
KEN/SS6963/2022,1/31/22,767,73
KEN/SS6967/2022,2/1/22,768,57
KEN/SS6969/2022,2/1/22,768,59
KEN/SS6972/2022,2/5/22,772,73
KEN/SS6973/2022,2/7/22,774,73
KEN/SS6975/2022,2/15/22,782,58
KEN/SS7191/2021,6/10/21,532,33
KEN/SS7487/2022,2/24/22,791,78
KEN/SS7488/2022,2/24/22,791,76
KEN/SS7492/2022,3/2/22,797,77
KEN/SS7493/2022,3/8/22,803,73
KEN/SS7497/2022,3/18/22,813,76
KEN/SS7899/2022,1/23/22,759,58
KEN/SS8011/2022,3/30/22,825,77
KEN/SS8012/2022,4/5/22,831,81
KEN/SS8013/2022,3/26/22,821,78
KEN/SS8014/2022,4/5/22,831,81
KEN/SS8015/2022,4/4/22,830,75
KEN/SS8016/2022,3/28/22,823,75
KEN/SS8017/2022,4/4/22,830,81
KEN/SS8019/2022,4/6/22,832,78
KEN/SS8362/2022,4/18/22,844,74
KEN/SS8364/2022,4/7/22,833,77
KEN/SS8366/2022,4/22/22,848,78
KEN/SS8369/2022,4/20/22,846,74
KEN/SS8370/2022,4/20/22,846,76
KEN/SS8371/2022,4/20/22,846,78
KEN/SS8372/2022,5/9/22,865,80
KEN/SS8374/2022,4/21/22,847,76
KEN/SS8381/2022,5/10/22,866,82
KEN/SS8383/2022,5/11/22,867,80
KEN/SS8384/2022,5/9/22,865,80
KEN/SS8385/2022,5/12/22,868,81
KEN/SS8389/2022,5/7/22,863,79
KEN/SS8390/2022,5/12/22,868,80
KEN/SS8393/2022,5/9/22,865,80
KEN/SS8451/2022,5/20/22,876,80
KEN/SS8455/2022,5/19/22,875,79
KEN/SS8456/2022,5/19/22,875,79
KEN/SS8461/2022,5/17/22,873,80
KEN/SS8470/2022,5/17/22,873,79
KEN/SS8471/2022,5/19/22,875,79
KEN/SS8640/2022,1/5/22,741,57
KEN/SS8663/2022,5/22/22,878,80
KEN/SS8665/2022,5/23/22,879,80
KEN/SS8667/2022,5/24/22,880,85
KEN/SS8669/2022,5/25/22,881,80
KEN/SS8674/2022,5/25/22,881,84
KEN/SS8684/2022,5/25/22,881,84
KEN/SS8700/2022,5/27/22,883,85
KEN/SS8785/2022,5/24/22,880,88
KEN/SS8886/2022,6/6/22,893,85
KEN/SS8928/2022,5/30/22,886,84
KEN/SS8930/2022,5/30/22,886,81
KEN/SS8936/2022,5/31/22,887,86
KEN/SS8941/2022,6/2/22,889,84
KEN/SS8946/2022,6/3/22,890,85
KEN/SS8968/2022,6/6/22,893,86
KEN/SS8978/2022,5/25/22,881,83
KEN/SS8999/2022,6/14/22,901,84
KEN/SS9018/2022,6/11/22,898,85
KEN/SS9032/2022,6/8/22,895,84
KEN/SS9040/2022,6/14/22,901,85
KEN/SS9044/2022,6/13/22,900,84
KEN/SS9051/2022,6/13/22,900,85
KEN/SS9059/2022,6/15/22,902,86
KEN/SS9067/2022,6/10/22,897,85
KEN/SS9075/2022,6/10/22,897,86
KEN/SS9106/2021,12/18/21,723,55
KEN/SS9261/2022,5/28/22,884,85
KEN/SS9267/2022,5/28/22,884,80
KEN/SS9274/2022,5/27/22,883,84
KEN/SS9278/2022,5/31/22,887,85
KEN/SS9298/2022,6/7/22,894,82
KEN/SS9326/2022,6/9/22,896,87
KEN/SS9358/2022,6/13/22,900,84
KEN/SS9377/2022,6/14/22,901,80
KEN/SS9400/2022,6/14/22,901,85
KEN/SS9401/2022,6/14/22,901,83
KEN/SS9403/2022,6/15/22,902,84
KEN/SS9418/2022,6/15/22,902,86
KEN/SS9430/2022,6/16/22,903,85
KEN/SS9448/2022,6/19/22,906,85
KEN/SS9480/2022,6/20/22,907,91
KEN/SS9504/2022,6/18/22,905,86
KEN/SS9506/2022,6/11/22,898,82
KEN/SS9515/2022,5/17/22,873,74
KOR/BA-ACH_2719/2020,2/29/20,65,5
KOR/KCDC03-NCCP43346/2021,2/24/21,426,15
LAO/LOMWRU-0248/2022,2/10/22,777,49
LAO/LOMWRU-0249/2022,2/14/22,781,46
LAO/LOMWRU-0250/2022,2/17/22,784,46
LAO/LOMWRU-0251/2022,2/18/22,785,47
LAO/LOMWRU-0252/2022,2/24/22,791,50
LAO/LOMWRU-0253/2022,2/24/22,791,45
LAO/LOMWRU-0254/2022,2/25/22,792,45
LAO/LOMWRU-0255/2022,2/25/22,792,50
LAO/LOMWRU-0256/2022,2/28/22,795,46
LAO/LOMWRU-0257/2022,2/28/22,795,46
LAO/LOMWRU-0258/2022,3/1/22,796,49
LAO/LOMWRU-0259/2022,2/22/22,789,46
LAO/LOMWRU-0260/2022,2/23/22,790,51
LAO/LOMWRU-0261/2022,2/25/22,792,46
LAO/LOMWRU-0262/2022,2/21/22,788,46
LAO/LOMWRU-0263/2022,3/2/22,797,47
LAO/LOMWRU-0264/2022,3/2/22,797,48
LAO/LOMWRU-0265/2022,3/4/22,799,47
LAO/LOMWRU-0266/2022,5/11/22,867,81
LAO/LOMWRU-0267/2022,5/17/22,873,79
LAO/LOMWRU-0268/2022,5/19/22,875,76
LAO/LOMWRU-0269/2022,5/20/22,876,79
LAO/LOMWRU-0270/2022,5/25/22,881,76
LBY/BTRCLibyaSARS-CoV-2WGS-21/2021,2/25/21,427,21
LC594650,7/30/20,217,17
LC654319,7/25/21,577,33
Lebanon/QIB-67/2021,1/12/21,383,31
Lebanon/QIB-825/2021,4/20/21,481,38
Lebanon/QIB-894/2021,5/3/21,494,39
Liechtenstein/FL-Risch-20220514R11637/2022,5/14/22,870,78
Liechtenstein/FL-Risch-20220516R11631/2022,5/16/22,872,80
Liechtenstein/FL-Risch-20220516R11780/2022,5/16/22,872,80
Liechtenstein/FL-Risch-20220519R11766/2022,5/19/22,875,84
Liechtenstein/FL-Risch-20220526R11888/2022,5/26/22,882,82
Liechtenstein/FL-Risch-20220528R11855/2022,5/28/22,884,80
Liechtenstein/FL-Risch-20220602R12027/2022,6/2/22,889,82
Liechtenstein/FL-Risch-20220602R12051/2022,6/2/22,889,82
Liechtenstein/FL-Risch-20220606R11713/2022,6/6/22,893,81
Liechtenstein/FL-Risch-20220606R11718/2022,6/6/22,893,85
Liechtenstein/FL-Risch-2150507728/2021,5/5/21,496,29
Liechtenstein/FL-Risch-2191402893/2021,9/7/21,621,41
Liechtenstein/FL-Risch-21A2100638/2021,10/18/21,662,40
Liechtenstein/FL-Risch-2220805585/2022,1/19/22,755,57
Liechtenstein/FL-Risch-2220805752/2022,1/25/22,761,57
Liechtenstein/FL-Risch-2220805943/2022,1/30/22,766,76
Liechtenstein/FL-Risch-2221501652/2022,1/26/22,762,56
Liechtenstein/FL-Risch-2222200565/2022,1/29/22,765,77
Liechtenstein/FL-Risch-2222200581/2022,1/29/22,765,77
Liechtenstein/FL-Risch-2222200585/2022,1/29/22,765,76
Liechtenstein/FL-Risch-2222200601/2022,1/28/22,764,77
Liechtenstein/FL-Risch-2222200603/2022,1/27/22,763,77
Liechtenstein/FL-Risch-2222200608/2022,1/28/22,764,76
Liechtenstein/FL-Risch-2230401125/2022,2/1/22,768,43
Liechtenstein/FL-Risch-2230401143/2022,1/31/22,767,42
Liechtenstein/FL-Risch-2231002022/2022,2/13/22,780,76
Liechtenstein/FL-Risch-2231002111/2022,2/13/22,780,74
Liechtenstein/FL-Risch-2231800409/2022,2/22/22,789,62
Liechtenstein/FL-Risch-2231800494/2022,2/26/22,793,60
Liechtenstein/FL-Risch-2231800530/2022,2/26/22,793,57
Liechtenstein/FL-Risch-2232308206/2022,3/14/22,809,60
Liechtenstein/FL-Risch-2240100369/2022,3/18/22,813,59
Liechtenstein/FL-Risch-2240100390/2022,3/23/22,818,57
Liechtenstein/FL-Risch-2240100428/2022,3/24/22,819,58
Liechtenstein/FL-Risch-2240400104/2022,3/21/22,816,59
Liechtenstein/FL-Risch-2240400179/2022,3/21/22,816,61
Liechtenstein/FL-Risch-2241300365/2022,3/7/22,802,59
Liechtenstein/FL-Risch-2241300587/2022,3/7/22,802,77
Liechtenstein/FL-Risch-2241300677/2022,3/28/22,823,79
Liechtenstein/FL-Risch-2241300717/2022,3/8/22,803,58
Liechtenstein/UHB-4181325501/2021,1/27/21,398,34
Liechtenstein/UHB-4182816001/2021,2/3/21,405,35
LR877186,4/26/20,122,14
LR884098,4/18/20,114,7
LR963402,3/1/20,66,7
LR963416,3/1/20,66,5
LR963460,5/1/20,127,12
LR963466,3/1/20,66,8
LR992084,5/6/20,132,10
LR992087,9/6/20,255,14
MAR/CNRST-HM36/2021,12/22/21,727,56
MAR/CNRST-IND01/2021,4/22/21,483,35
MAR/CNRST132_INH5900/2021,7/7/21,559,37
MAR/FMP414/2021,12/27/21,732,55
MAR/FMP80/2021,1/8/21,379,31
MEX/4147/2022,2/18/22,785,56
MEX/B741/2020,10/2/20,281,14
MEX/BCN-479/2020,4/30/20,126,7
MEX/CMX-127/2020,7/20/20,207,13
MEX/CMX-154/2020,9/24/20,273,13
MEX/CMX-159/2020,10/1/20,280,20
MEX/MA-UMASSMED-202149209/2022,3/9/22,804,59
MEX/OAX_0812/2021,4/23/21,484,37
MEX/SLP-562/2021,1/31/21,402,25
Mexico/SO-SEARCH-106705/2021,7/12/21,564,35
MLI/MAL0109/2021,8/10/21,593,41
MLI/MAL0138/2021,5/5/21,496,28
MLI/UCRC31/2020,3/31/20,96,8
MLI/UCRC68/2020,3/18/20,83,9
MLT/Sliema_9/2020,9/7/20,256,20
MMR/DSMRC-070/2022,3/12/22,807,83
MMR/DSMRC-072/2022,3/12/22,807,78
MMR/DSMRC-074/2022,3/14/22,809,82
MMR/DSMRC-076/2022,3/14/22,809,82
MMR/DSMRC-077/2022,3/14/22,809,81
MMR/DSMRC-078/2022,3/14/22,809,76
MMR/DSMRC-079/2022,3/14/22,809,81
MMR/DSMRC-080/2022,3/14/22,809,82
MMR/DSMRC-081/2022,3/14/22,809,79
MMR/DSMRC-085/2022,3/11/22,806,79
MMR/DSMRC-086/2022,3/11/22,806,79
MMR/DSMRC-088/2022,3/11/22,806,79
MMR/DSMRC-089/2022,3/11/22,806,77
MMR/DSMRC-090/2022,2/19/22,786,76
MMR/DSMRC-091/2022,2/19/22,786,75
MMR/DSMRC-092/2022,2/19/22,786,78
MMR/DSMRC-093/2022,2/19/22,786,76
MMR/DSMRC-094/2022,2/19/22,786,78
MMR/DSMRC-095/2022,2/19/22,786,76
MMR/DSMRC-097/2022,3/11/22,806,77
MMR/DSMRC047/2021,11/30/21,705,46
MMR/Kalay-dsmrc-026/2021,8/11/21,594,38
MNG/10011476/2021,7/20/21,572,39
MNG/10011595/2021,8/2/21,585,38
MNG/10011696/2021,4/24/21,485,34
MNG/10011736/2021,4/24/21,485,42
MNG/10011812/2021,9/8/21,622,42
MNG/10011836/2021,9/7/21,621,41
MW294007,7/20/20,207,22
MW294011,10/26/20,305,21
MW342708,4/30/20,126,19
MWI/MLW000914/2022,1/6/22,742,54
MWI/MLW001015/2020,12/23/20,363,23
MWI/MLW001170/2022,1/31/22,767,77
MWI/MLW001188/2021,6/21/21,543,39
MWI/MLW001193/2021,7/14/21,566,42
MWI/MLW001207/2022,2/10/22,777,76
MWI/MLW001208/2022,2/15/22,782,54
MWI/MLW001212/2022,2/7/22,774,57
MWI/MLW001213/2022,2/2/22,769,56
MWI/MLW00944/2022,1/18/22,754,56
MWI/MLW00955/2022,1/19/22,755,73
MWI/MLW00975/2022,1/18/22,754,56
MYS/C108/2022,1/19/22,755,59
MYS/C125/2022,1/20/22,756,56
MYS/C132/2022,1/23/22,759,57
MYS/C177/2022,1/25/22,761,58
MYS/C186/2022,1/25/22,761,58
MYS/C192/2022,1/26/22,762,43
MYS/C207/2022,1/26/22,762,58
MYS/C209/2022,1/27/22,763,61
MYS/C210/2022,1/27/22,763,61
MYS/C256/2022,1/30/22,766,59
MYS/C275/2022,1/31/22,767,58
MYS/C276/2022,1/31/22,767,45
MYS/C277/2022,1/31/22,767,60
MYS/C279/2022,1/31/22,767,58
MYS/C455/2022,2/9/22,776,59
MYS/C881_001952/2022,3/18/22,813,77
MYS/C882_172777/2022,3/16/22,811,74
MYS/C904_721901/2022,3/30/22,825,78
MYS/D2_354/2022,2/11/22,778,73
MYS/G10_600519115373/2022,3/15/22,810,58
MYS/G15_530116035220/2022,3/13/22,808,75
MYS/G17_840328035808/2022,3/12/22,807,73
MYS/H15_21346/2022,3/3/22,798,76
MYS/H2_5700/2022,2/9/22,776,57
MYS/H23_22609/2022,3/13/22,808,73
MYS/H32_23789/2022,3/26/22,821,75
MYS/H35_24012/2022,3/29/22,824,79
MYS/H38_23780/2022,3/26/22,821,78
MYS/H39_24295/2022,4/1/22,827,78
MYS/H40_24485/2022,4/2/22,828,78
MYS/H43_24594/2022,4/4/22,830,74
MYS/H44_24609/2022,4/4/22,830,75
MYS/H49_24736/2022,4/5/22,831,76
MYS/H6_20085/2022,2/23/22,790,59
MYS/H60_25665/2022,4/18/22,844,79
MYS/H64_35401/2022,5/7/22,863,78
MYS/H65_35636/2022,5/9/22,865,83
MYS/H67_35929/2022,5/12/22,868,75
MYS/H68_36349/2022,5/17/22,873,77
MYS/H69_36713/2022,5/22/22,878,78
MYS/H70_36716/2022,5/22/22,878,76
MYS/H9_20884/2022,2/28/22,795,81
MYS/K1/2022,3/4/22,799,73
MYS/K13_3013/2022,4/5/22,831,79
MYS/K14_3394/2022,4/18/22,844,79
MYS/K15_3763/2022,5/9/22,865,76
MYS/K16_3858/2022,5/10/22,866,78
MYS/K17_3800/2022,5/14/22,870,79
MYS/K2/2022,2/27/22,794,58
MYS/M32_10722/2022,4/14/22,840,75
MYS/M38_11045/2022,3/16/22,811,63
MYS/M48_33741/2022,4/11/22,837,78
MYS/M5_00281/2022,2/14/22,781,57
MYS/M57_13459/2022,4/14/22,840,76
MYS/M59_33891/2022,4/15/22,841,81
MYS/M60_33967/2022,4/19/22,845,76
MYS/M63_33993/2022,4/20/22,846,74
MYS/M65_34146/2022,5/25/22,881,75
MYS/M8_09510/2022,2/17/22,784,57
MYS/N4919/2022,2/9/22,776,58
MYS/N5377/2022,2/9/22,776,57
MYS/N6686/2022,2/10/22,777,58
MYS/N6935/2022,2/10/22,777,59
MYS/NCOV2754/2021,5/5/21,496,29
MYS/NCOV59636/2021,4/28/21,489,29
MYS/T2_282/2022,2/9/22,776,58
MYS/USM_Monash_JKNK_C9619/2020,11/25/20,335,13
Neovisonvison/NLD/NB68-031-TS/2020,11/3/20,313,21
Neovisonvison/NLD/NB68-41-TS/2020,11/3/20,313,20
NGA/BCVL-18758/2021,1/8/21,379,34
NGA/BCVL-21226/2021,1/22/21,393,26
NGA/BCVL-24573/2021,2/26/21,428,28
NGA/BCVL-24703/2021,3/2/21,432,35
NGA/BCVL-25700/2021,4/19/21,480,24
NGA/NG57839/2020,3/22/20,87,9
NLD/120421-16__2019-nCoV/2021,3/13/21,443,32
NLD/EMC-BA2-1/2022,1/11/22,747,76
NLD/EMC-Beta-1/2021,1/20/21,391,26
NLD/EMC-Gamma-1/2021,3/22/21,452,35
NLD/Rotterdam-UK1/2020,12/19/20,359,33
NOR/Bergen-02/2020,9/25/20,274,22
NOR/Bergen-03/2021,2/11/21,413,34
NOR/Bergen-05/2022,1/3/22,739,57
NZL/20CV0217/2020,8/29/20,247,12
NZL/20CV0273/2020,3/23/20,88,8
NZL/20CV0325/2020,4/2/20,98,10
NZL/20CV0332/2020,9/8/20,257,19
NZL/20CV0362/2020,9/21/20,270,22
NZL/20CV0556/2020,11/11/20,321,19
NZL/20CV0563/2020,11/18/20,328,19
NZL/20CV0595/2020,11/25/20,335,14
NZL/20CV0606/2020,11/25/20,335,20
NZL/20CV0627/2020,11/28/20,338,21
NZL/20VR1785/2020,3/26/20,91,9
NZL/20VR2032/2020,4/1/20,97,8
