strain,date,url,clade_membership,current_frequency,mutational_fitness,country,region,division,genbank_accession,host,pango_lineage,S1_mutations,epiweek,emerging_lineage,recency,author,accession,submitting_lab,originating_lab,logistic_growth
KEN/SS6975/2022,2022-02-15,,21K (Omicron),,1.27,Kenya,Africa,Kenya,ON198947,Homo sapiens,BA.1,27,202207,,Older,Githinji et al T,,,,
MWI/MLW001212/2022,2022-02-07,,21K (Omicron),,1.04,Malawi,Africa,Malawi,ON099765,Homo sapiens,BA.1.9,25,202206,,Older,Feasey et al H,,,,
SouthAfrica/NHLS-UCT-LA-Z862/2022,2022-01-31,,21K (Omicron),,1.3,South Africa,Africa,Western Cape Province,ON116610,Homo sapiens,BA.1,28,202205,,Older,Tegally et al J,,University of Cape Town and National Health Laboratory Service,Lancet,
THA/AFRIMS-COV10405/2022,2022-02-07,,21K (Omicron),,1.27,Thailand,Asia,Thailand,ON430557,Homo sapiens,BA.1,28,202206,,Older,Phutthasophit et al,,,,
PAK/23268/2022,2022-01-19,,21K (Omicron),,1.27,Pakistan,Asia,Sindh,ON437567,Homo sapiens,BA.1,27,202203,,Older,Nisar et al D,,,,
SouthAfrica/NHLS-UCT-GP-N659/2022,2022-01-19,,21K (Omicron),,1.27,South Africa,Africa,South Africa,OM725295,Homo sapiens,BA.1,27,202203,,Older,Tegally et al K,,,,
USA/IL-CDC-ASC210649512/2022,2022-02-01,,21K (Omicron),,1.27,USA,North America,Illinois,OM742153,Homo sapiens,BA.1,27,202205,,Older,Howard et al BF,,CDC-OAMD,Aegis Sciences Corporation,
SouthAfrica/NHLS-UCT-GS-AZ17/2022,2022-01-31,,21K (Omicron),,1.27,South Africa,Africa,Western Cape Province,ON116571,Homo sapiens,BA.1,27,202205,,Older,Tegally et al L,,University of Cape Town and National Health Laboratory Service,Groote Schuur Hospital wc GSH,
OW513139,2022-02-03,,21K (Omicron),,1.27,United Kingdom,Europe,United Kingdom,OW513139,Homo sapiens,BA.1,27,202205,,Older,? A,,"University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial ","University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust",
SouthAfrica/NHLS-UCT-GS-BH02/2022,2022-02-03,,21K (Omicron),,1.27,South Africa,Africa,South Africa,ON322719,Homo sapiens,BA.1,27,202205,,Older,Viana et al M,,University of Cape Town and National Health Laboratory Service,Groote Schuur Hospital wc GSH,
SouthAfrica/NHLS-UCT-GP-N824/2022,2022-01-27,,21K (Omicron),,1.27,South Africa,Africa,South Africa,OM857856,Homo sapiens,BA.1,27,202204,,Older,Valley-Omar et al I,,University of Cape Town and National Health Laboratory Service,Robertson Hospital wc ROB,
SouthAfrica/NHLS-UCT-GS-BD49/2022,2022-02-21,,21K (Omicron),,1.27,South Africa,Africa,Western Cape Province,ON078463,Homo sapiens,BA.1,26,202208,,Older,Viana et al N,,University of Cape Town and National Health Laboratory Service,Browns Farm (Inzame Zabantu) CDC wc IZC,
ITA/Padova_03/2022,2022-02-20,,21K (Omicron),,1.27,Italy,Europe,Italy,ON062195,Homo sapiens,BA.1,27,202208,,One month ago,Lavezzo et al B,,,,
MWI/MLW001208/2022,2022-02-15,,21K (Omicron),,1.27,Malawi,Africa,Malawi,ON099767,Homo sapiens,BA.1,27,202207,,Older,Feasey et al I,,,,
AUS/A12-WW-209C/2021,2021-11-25,,21K (Omicron),,1.28,Australia,Oceania,Australia,OL869974,Homo sapiens,BA.1,27,202147,,Older,Ahmed et al,,CSIRO Land and Water,CSIRO Australia,
OX070019,2022-01-21,,21K (Omicron),,1.26,United Kingdom,Europe,Scotland,OX070019,Homo sapiens,BA.1,27,202203,,Older,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Res","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",
HongKong/HKU-220213-323/2021,2021-12-29,,21K (Omicron),,1.26,Hong Kong,Asia,Hong Kong,ON600351,Homo sapiens,BA.1,27,202152,,Older,To et al E,,,,
OW771969,2022-01-18,,21K (Omicron),,1.22,Germany,Europe,Bavaria,OW771969,Homo sapiens,BA.1,27,202203,,Older,? D,,Robert Koch Institute,"LabKom - Labor Augsburg MVZ GmbH, August-Wessels-StraÃŸe 5; 86154 Augsburg",
THA/CONI-2090/2022,2022-02-03,,21K (Omicron),,1.26,Thailand,Asia,Bangkok,ON910216,Homo sapiens,BA.1.16.1,27,202205,,One week ago,Batty et al M,,,,
Denmark/DCGC-386019/2022,2022-02-16,,21K (Omicron),,1.22,Denmark,Europe,Syddanmark,OX021109,Homo sapiens,BA.1,28,202207,,Older,Danish Covid-19 Genome et al,,statens serum institut and the danish covid19 genome consortium (dcgc),"Department of Clinical Microbiology, Odense University Hospital, Odense, Denmark",
OW498991,2022-01-26,,21K (Omicron),,1.27,United Kingdom,Europe,United Kingdom,OW498991,Homo sapiens,BA.1,27,202204,,Older,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Res","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",
OW121017,2022-02-07,,21K (Omicron),,1.24,Slovakia,Europe,Slovakia,OW121017,Homo sapiens,BA.1,26,202206,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OX084253,2022-02-08,,21K (Omicron),,1.27,United Kingdom,Europe,Northern Ireland,OX084253,Homo sapiens,BA.1,27,202206,,Older,? A,,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care N,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust,
Switzerland/ZH-UZH-IMV-3ba5c237/2022,2022-01-19,,21K (Omicron),,1.27,Switzerland,Europe,Zürich,OV788382,Homo sapiens,BA.1,27,202203,,Older,? AC,,"Institute of Medical Virology, Zürich, Switzerland","UniversitätsSpital Zürich, Zürich, Switzerland",
OW773058,2022-01-27,,21K (Omicron),,1.27,Germany,Europe,Rheinland-Pfalz,OW773058,Homo sapiens,BA.1,27,202204,,Older,? D,,Robert Koch Institute,"SYNLAB MVZ Trier, FeldstraÃŸe 26; 54290 Trier",
Switzerland/BE-IFIK-220207_os_68/2022,2022-01-31,,21K (Omicron),,1.26,Switzerland,Europe,Bern,OV883529,Homo sapiens,BA.1,27,202205,,Older,? AD,,"Institute for Infectious Diseases, University of Bern, Switzerland","Institute for Infectious Diseases, University of Bern, Switzerland",
USA/CA-CDC-ASC210860334/2022,2022-02-16,,21K (Omicron),,1.24,USA,North America,California,OM863055,Homo sapiens,BA.1,26,202207,,Older,Howard et al BG,,CDC-OAMD,Aegis Sciences Corporation,
TWN/CGMH-CGU-118/2021,2021-12-20,,21K (Omicron),,1.27,Taiwan,Asia,Taiwan,ON005336,Homo sapiens,BA.1,27,202151,,Older,Tsao et al G,,,,
PER/ABP0008/2022,2022-01-19,,21K (Omicron),,1.27,Peru,South America,Peru,OM988114,Homo sapiens,BA.1,27,202203,,Older,Kosek et al A,,,,
PER/ABP0003/2022,2022-01-21,,21K (Omicron),,1.27,Peru,South America,Peru,OM988109,Homo sapiens,BA.1,27,202203,,Older,Kosek et al B,,,,
PER/LSP0904/2022,2022-01-11,,21K (Omicron),,1.27,Peru,South America,Peru,OM942931,Homo sapiens,BA.1,27,202202,,Older,Kosek et al C,,,,
PER/ABP0009/2022,2022-01-21,,21K (Omicron),,1.27,Peru,South America,Peru,OM988115,Homo sapiens,BA.1,27,202203,,Older,Kosek et al D,,,,
USA/WI-CDC-FG-260132/2022,2022-01-31,,21K (Omicron),,1.27,USA,North America,Wisconsin,OM652316,Homo sapiens,BA.1,27,202205,,Older,Howard et al BH,,CDC-OAMD,Fulgent Genetics,
MEX/4147/2022,2022-02-18,,21K (Omicron),,1.26,Mexico,North America,Mexico,ON651664,Homo sapiens,BA.1,27,202207,,Older,Gomez Castellano et al,,,,
USA/PA-CDC-ASC210541461/2022,2022-01-21,,21K (Omicron),,1.27,USA,North America,Pennsylvania,OM561100,Homo sapiens,BA.1,27,202203,,Older,Howard et al BI,,CDC-OAMD,Aegis Sciences Corporation,
Liechtenstein/FL-Risch-2240100390/2022,2022-03-23,,21K (Omicron),,1.28,Liechtenstein,Europe,Liechtenstein,OW447548,Homo sapiens,BA.1,27,202212,,Older,? AE,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",
PER/ABP0007/2022,2022-01-21,,21K (Omicron),,1.27,Peru,South America,Peru,OM988113,Homo sapiens,BA.1,27,202203,,Older,Kosek et al E,,,,
BGD/DHA-BSMMU-VIRO-21/2022,2022-01-20,,21K (Omicron),,1.24,Bangladesh,Asia,Bangladesh,ON026035,Homo sapiens,BA.1,27,202203,,Older,Jahan et al C,,,,
AUS/QIMR01/2022,2022-01-07,,21K (Omicron),,1.29,Australia,Oceania,Australia,ON819429,Homo sapiens,BA.1.17,26,202201,,One month ago,Yan et al,,,,
SouthAfrica/NHLS-UCT-GS-AY43/2022,2022-01-18,,21K (Omicron),,1.28,South Africa,Africa,South Africa,OM773208,Homo sapiens,BA.1.17,27,202203,,Older,Wilkinson et al C,,,,
SouthAfrica/NHLS-UCT-GP-N827/2022,2022-01-28,,21K (Omicron),,1.29,South Africa,Africa,South Africa,OM857859,Homo sapiens,BA.1.17,27,202204,,Older,Valley-Omar et al J,,University of Cape Town and National Health Laboratory Service,Bothasig CDC wc BLD,
USA/WV-CDC-ASC210646867/2022,2022-01-31,,21K (Omicron),,1.31,USA,North America,West Virginia,OM683609,Homo sapiens,BA.1.17,29,202205,,Older,Howard et al BJ,,CDC-OAMD,Aegis Sciences Corporation,
Switzerland/AI-CLM-02144387/2022,2022-02-14,,21K (Omicron),,1.28,Switzerland,Europe,Appenzell Innerrhoden,OW002890,Homo sapiens,BA.1.17,27,202207,,Older,? AF,,center for laboratory medicine st. gallen,"Center for Laboratory Medicine, St. Gallen, Switzerland",
OV660617,2021-12-28,,21K (Omicron),,1.26,Germany,Europe,Bavaria,OV660617,Homo sapiens,BA.1.17,26,202152,,Older,? D,,Robert Koch Institute,"LabKom - Labor Augsburg MVZ GmbH, August-Wessels-StraÃŸe 5; 86154 Augsburg",
FRA/IHUCOVID-066371_Nova1/2022,2022-02-07,,21K (Omicron),,1.28,France,Europe,France,ON444526,Homo sapiens,BA.1.17,28,202206,,Older,Levasseur et al O,,,,
Switzerland/ZH-UZH-IMV-3ba5c4cb/2022,2022-01-18,,21K (Omicron),,1.29,Switzerland,Europe,Zürich,OV789696,Homo sapiens,BA.1.17,27,202203,,Older,? AG,,"Institute of Medical Virology, Zürich, Switzerland","Kantonsspital Winterthur, Winterthur 1, Switzerland",
THA/CONI-2771/2022,2022-02-15,,21K (Omicron),,1.25,Thailand,Asia,Bangkok,ON910789,Homo sapiens,BA.1.17,27,202207,,One week ago,Batty et al N,,,,
SouthAfrica/NHLS-UCT-GS-AG66/2022,2022-01-06,,21K (Omicron),,1.29,South Africa,Africa,South Africa,OM773153,Homo sapiens,BA.1.17,27,202201,,Older,Wilkinson et al D,,,,
SouthAfrica/NHLS-UCT-GP-N665/2022,2022-01-18,,21K (Omicron),,1.28,South Africa,Africa,South Africa,OM725297,Homo sapiens,BA.1.17,27,202203,,Older,Tegally et al M,,,,
SouthAfrica/NHLS-UCT-GS-AW89/2022,2022-01-05,,21K (Omicron),,1.28,South Africa,Africa,South Africa,OM773172,Homo sapiens,BA.1.17,27,202201,,Older,Wilkinson et al E,,,,
SouthAfrica/NHLS-UCT-GS-AZ08/2022,2022-01-28,,21K (Omicron),,1.28,South Africa,Africa,South Africa,OM857897,Homo sapiens,BA.1.17,27,202204,,Older,Valley-Omar et al K,,University of Cape Town and National Health Laboratory Service,Groote Schuur Hospital wc GSH,
SouthAfrica/NHLS-UCT-GP-N810/2022,2022-01-24,,21K (Omicron),,1.28,South Africa,Africa,South Africa,OM857843,Homo sapiens,BA.1.17,27,202204,,Older,Valley-Omar et al L,,University of Cape Town and National Health Laboratory Service,SAS Saldanha,
SouthAfrica/NHLS-UCT-GP-N842/2022,2022-01-31,,21K (Omicron),,1.28,South Africa,Africa,Western Cape Province,ON116552,Homo sapiens,BA.1.17,27,202205,,Older,Tegally et al N,,University of Cape Town and National Health Laboratory Service,New Somerset Hospital wc NSH,
ZAF/SCV2-GP-N911/2022,2022-02-04,,21K (Omicron),,1.28,South Africa,Africa,South Africa,ON055781,Homo sapiens,BA.1.17.2,27,202205,,Older,Valley-Omar et al M,,,,
ZAF/SCV2-GS-BC84/2022,2022-02-07,,21K (Omicron),,1.28,South Africa,Africa,South Africa,ON055818,Homo sapiens,BA.1.17,27,202206,,Older,Valley-Omar et al N,,,,
FRA/IHUCOVID-064256_Nova1RZ/2022,2022-01-18,,21K (Omicron),,1.28,France,Europe,France,ON268330,Homo sapiens,BA.1.17,27,202203,,Older,Levasseur et al P,,,,
SouthAfrica/NHLS-UCT-GP-N811/2022,2022-01-24,,21K (Omicron),,1.28,South Africa,Africa,South Africa,OM857844,Homo sapiens,BA.1.17,27,202204,,Older,Valley-Omar et al O,,University of Cape Town and National Health Laboratory Service,Klein Drakenstein Clinic wc KDC,
SouthAfrica/NHLS-UCT-GP-O049/2022,2022-02-23,,21K (Omicron),,1.28,South Africa,Africa,Western Cape Province,ON078430,Homo sapiens,BA.1.17,27,202208,,Older,Viana et al O,,University of Cape Town and National Health Laboratory Service,DP Marais Hospital wc DPM,
Switzerland/BE-IFIK-220207_os_56/2022,2022-01-31,,21K (Omicron),,1.3,Switzerland,Europe,Bern,OV883513,Homo sapiens,BA.1.17.2,27,202205,,Older,? AH,,"Institute for Infectious Diseases, University of Bern, Switzerland","Institute for Infectious Diseases, University of Bern, Switzerland",
USA/TG1266404/2022,2022-03-04,,21K (Omicron),,1.3,USA,North America,Arizona,ON518911,Homo sapiens,BA.1.17.2,27,202209,,Older,Bowers et al C,,The Translational Genomics Research Institute COVID submission group,Sonora Quest Laboratories - Phoenix,
IRL/54-AG-705/2022,2022-01-28,,21K (Omicron),,1.27,Ireland,Europe,Ireland,ON242403,Homo sapiens,BA.1.17.2,28,202204,,Older,Macori et al A,,,,
SYC/SS7723/2022,2022-01-24,,21K (Omicron),,1.3,Seychelles,Africa,Seychelles,ON603443,Homo sapiens,BA.1.17.2,28,202204,,Older,Githinji et al U,,,,
OW120617,2022-01-18,,21K (Omicron),,1.27,Slovakia,Europe,Slovakia,OW120617,Homo sapiens,BA.1.17.2,27,202203,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OW119974,2022-01-28,,21K (Omicron),,1.28,Slovakia,Europe,Slovakia,OW119974,Homo sapiens,BA.1.17.2,27,202204,,Older,? J,,"Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University","Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University",
THA/CONI-2029/2022,2022-02-02,,21K (Omicron),,1.3,Thailand,Asia,Bangkok,ON210941,Homo sapiens,BA.1.17.2,28,202205,,Older,Batty et al O,,,,
THA/CONI-2306/2022,2022-02-13,,21K (Omicron),,1.3,Thailand,Asia,Bangkok,ON910427,Homo sapiens,BA.1.17.2,28,202207,,One week ago,Batty et al P,,,,
VNM/OUCRU-NHTD613/2022,2022-02-17,,21K (Omicron),,1.29,Vietnam,Asia,Vietnam,ON764561,Homo sapiens,BA.1.17.2,28,202207,,Older,Kesteman et al K,,,,
OW477369,2022-01-18,,21K (Omicron),,1.29,United Kingdom,Europe,United Kingdom,OW477369,Homo sapiens,BA.1.17.2,27,202203,,Older,? A,,Quadram Institute Bioscience,Quadram Institute Bioscience,
OW120866,2022-01-20,,21K (Omicron),,1.28,Slovakia,Europe,Slovakia,OW120866,Homo sapiens,BA.1.17.2,26,202203,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OW111392,2022-01-13,,21K (Omicron),,1.29,Slovakia,Europe,Slovakia,OW111392,Homo sapiens,BA.1.17.2,24,202202,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OW120092,2022-01-30,,21K (Omicron),,1.27,Slovakia,Europe,Slovakia,OW120092,Homo sapiens,BA.1.17.2,27,202205,,Older,? J,,"Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University","Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University",
OX081807,2022-02-25,,21K (Omicron),,1.3,United Kingdom,Europe,Wales,OX081807,Homo sapiens,BA.1.17.2,27,202208,,Older,? A,,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care N,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust,
OW509289,2022-01-18,,21K (Omicron),,1.3,United Kingdom,Europe,United Kingdom,OW509289,Homo sapiens,BA.1.17.2,27,202203,,Older,? A,,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care N,Northumbria University / South Tees Hospitals NHS Foundation Trust / North Cumbria Integrated Care NHS Foundation Trust / North Tees and Hartlepool NHS Foundation Trust / Newcastle Hospitals NHS Foundation Trust,
OW994459,2022-02-11,,21K (Omicron),,1.3,Germany,Europe,Niedersachsen,OW994459,Homo sapiens,BA.1.17.2,27,202206,,Older,? D,,Robert Koch Institute,"amedes Göttingen, Werner-v.-Siemens-Straße 8 - 10; 37077 Göttingen",
Switzerland/TI-ETHZ-35968222/2022,2022-01-24,,21K (Omicron),,1.3,Switzerland,Europe,Ticino,OV882535,Homo sapiens,BA.1.17.2,27,202204,,Older,? AI,,ETH ZURICH D-BSSE,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",
FRA/IHUCOVID-071418-N1M/2022,2022-03-07,,21K (Omicron),,1.32,France,Europe,France,ON314065,Homo sapiens,BA.1.1.1,28,202210,,Older,Beye et al C,,,,
FRA/IHUCOVID-065219_Nova1/2022,2022-01-28,,21K (Omicron),,1.29,France,Europe,France,ON267206,Homo sapiens,BA.1.1,28,202204,,Older,Levasseur et al Q,,,,
WestBank/MS_2201_990_S27/2022,2022-01-19,,21K (Omicron),,1.28,Palestine,Asia,Ramallah and al-Bireh Governorate,ON375770,Homo sapiens,BA.1.1,28,202203,,Older,Nasereddin et al B,,,,
RUS/Altufjevo/2022,2022-01-25,,21K (Omicron),,1.23,Russia,Europe,Moscow Oblast,ON032859,Homo sapiens,BA.1.1,23,202204,,Older,Faizuloev et al C,,,,
VNM/OUCRU-NHTD626/2022,2022-02-18,,21K (Omicron),,1.3,Vietnam,Asia,Vietnam,ON764574,Homo sapiens,BA.1.1,28,202207,,Older,Kesteman et al L,,,,
FRA/IHUCOVID-063106_Nova1/2022,2022-01-24,,21K (Omicron),,1.3,France,Europe,France,ON443886,Homo sapiens,BA.1.1,28,202204,,Older,Levasseur et al R,,,,
Switzerland/BE-IFIK-220207_os_30/2022,2022-01-31,,21K (Omicron),,1.29,Switzerland,Europe,Bern,OV883501,Homo sapiens,BA.1.1,28,202205,,Older,? AJ,,"Institute for Infectious Diseases, University of Bern, Switzerland","Institute for Infectious Diseases, University of Bern, Switzerland",
OW594677,2022-03-25,,21K (Omicron),,1.31,Slovakia,Europe,Slovakia,OW594677,Homo sapiens,BA.1.1,25,202212,,Older,? J,,"Laboratory of Genomics and Bioinformatics, Comenius University Science Park","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OW179983,2022-02-20,,21K (Omicron),,1.27,Slovakia,Europe,Slovakia,OW179983,Homo sapiens,BA.1.1,27,202208,,Older,? J,,"Regional Public Health Authority with the seat in Košice, Slovakia","Regional Public Health Authority with the seat in Košice, Slovakia",
OW140628,2022-02-17,,21K (Omicron),,1.28,Slovakia,Europe,Slovakia,OW140628,Homo sapiens,BA.1.1,27,202207,,Older,? J,,"Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University","Biomedical Centre Martin, Jessenius Faculty of Medicine in Martin, Comenius University",
PAK/23701/2022,2022-01-20,,21K (Omicron),,1.3,Pakistan,Asia,Sindh,ON437568,Homo sapiens,BA.1.1,28,202203,,Older,Nisar et al E,,,,
Switzerland/TI-EOC-26722177/2022,2022-03-02,,21K (Omicron),,1.3,Switzerland,Europe,Ticino,OW165721,Homo sapiens,BA.1.1,28,202209,,Older,? AK,,"Laboratorio di Microbiologia, Dipartimento di Medicina di Laboratorio EOLAB, Ente Ospedaliero Cantonale, Bellinzona, Switzerland","EOC Ospedale Regionale di Mendrisio Beata Vergine, Mendrisio, Switzerland",
OW458724,2022-01-27,,21K (Omicron),,1.3,United Kingdom,Europe,United Kingdom,OW458724,Homo sapiens,BA.1.1,28,202204,,Older,? A,,"West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research","West of Scotland Specialist Virology Centre, NHSGGC / MRC-University of Glasgow Centre for Virus Research",
Japan/SZ-NIG-4-C4383/2022,2022-02-18,,21K (Omicron),,1.3,Japan,Asia,Shizuoka,BS003869,Homo sapiens,BA.1.1,28,202207,,Older,Tsuchiya et al B,,,,
Japan/SZ-NIG-Y220106/2022,2022-04-12,,21K (Omicron),,1.3,Japan,Asia,Shizuoka,BS004584,Homo sapiens,BA.1.1,28,202215,,Older,Nagaoka et al F,,,,
Japan/SZ-NIG-4-C5008/2022,2022-02-25,,21K (Omicron),,1.3,Japan,Asia,Shizuoka,BS003960,Homo sapiens,BA.1.1,28,202208,,Older,Tsuchiya et al C,,,,
OW596153,2022-03-05,,21K (Omicron),,1.3,Germany,Europe,Rheinland-Pfalz,OW596153,Homo sapiens,BA.1.1,28,202209,,Older,? D,,Robert Koch Institute,"MVZ für Laboratoriumsmedizin und Mikrobiologie Koblenz-Mittelrhein (Labor Koblenz), Viktoriastraße 39; 56068 Koblenz",
SouthAfrica/NHLS-UCT-GS-AY99/2022,2022-01-27,,21K (Omicron),,1.38,South Africa,Africa,South Africa,OM857890,Homo sapiens,BA.1.1,28,202204,,Older,Valley-Omar et al P,,University of Cape Town and National Health Laboratory Service,2 Military Hospital wc MAA,
OW960606,2022-02-16,,21K (Omicron),,1.28,Germany,Europe,Saxony,OW960606,Homo sapiens,BA.1.1.1,27,202207,,Older,? D,,Robert Koch Institute,"Bioscientia Labor Wermsdorf, Am Fasanenholz 31; 04779 Wermsdorf",
SouthAfrica/NHLS-UCT-GS-AY20/2022,2022-01-18,,21K (Omicron),,1.31,South Africa,Africa,South Africa,OM773202,Homo sapiens,BA.1.1,28,202203,,Older,Wilkinson et al F,,,,
SouthAfrica/NHLS-UCT-GS-AY17/2022,2022-01-18,,21K (Omicron),,1.31,South Africa,Africa,South Africa,OM773201,Homo sapiens,BA.1.1,28,202203,,Older,Wilkinson et al G,,,,
SouthAfrica/NHLS-UCT-GS-AY97/2022,2022-01-24,,21K (Omicron),,1.32,South Africa,Africa,South Africa,OM857888,Homo sapiens,BA.1.1,28,202204,,Older,Valley-Omar et al Q,,University of Cape Town and National Health Laboratory Service,Great Brak River Clinic wc GBC,
SouthAfrica/NHLS-UCT-GP-N837/2022,2022-01-31,,21K (Omicron),,1.3,South Africa,Africa,Western Cape Province,ON116547,Homo sapiens,BA.1.1,28,202205,,Older,Tegally et al O,,University of Cape Town and National Health Laboratory Service,Valkenberg Hospital wc VBH,
FRA/IHUCOVID-061607-N1M/2022,2022-01-18,,21K (Omicron),,1.3,France,Europe,France,ON265013,Homo sapiens,BA.1.1.1,28,202203,,Older,Levasseur et al S,,,,
USA/TN-CDC-ASC210697626/2022,2022-02-01,,21K (Omicron),,1.29,USA,North America,Tennessee,OM814210,Homo sapiens,BA.1.1,28,202205,,Older,Howard et al BK,,CDC-OAMD,Aegis Sciences Corporation,
FRA/IHUCOVID-064281_Nova1RZ/2022,2022-01-18,,21K (Omicron),,1.31,France,Europe,France,ON268353,Homo sapiens,BA.1.1,28,202203,,Older,Levasseur et al T,,,,
USA/UT-CDC-ASC210601983/2022,2022-01-19,,21K (Omicron),,1.3,USA,North America,Utah,OM565522,Homo sapiens,BA.1.1,28,202203,,Older,Howard et al BL,,CDC-OAMD,Aegis Sciences Corporation,
USA/WY-CDC-ASC210851708/2022,2022-04-04,,21K (Omicron),,1.3,USA,North America,Wyoming,ON252357,Homo sapiens,BA.1.1,28,202214,,Older,Howard et al BM,,CDC-OAMD,Aegis Sciences Corporation,
Liechtenstein/FL-Risch-2240100428/2022,2022-03-24,,21K (Omicron),,1.33,Liechtenstein,Europe,Liechtenstein,OW447141,Homo sapiens,BA.1.1,28,202212,,Older,? AL,,Dr. Risch,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",
OW791122,2022-01-25,,21K (Omicron),,1.3,Germany,Europe,Bavaria,OW791122,Homo sapiens,BA.1.1,28,202204,,Older,? D,,Robert Koch Institute,"LabKom - Labor Augsburg MVZ GmbH, August-Wessels-StraÃŸe 5; 86154 Augsburg",
SouthAfrica/NHLS-UCT-GS-BH07/2022,2022-03-07,,21K (Omicron),,1.27,South Africa,Africa,South Africa,ON287318,Homo sapiens,BA.1.1,28,202210,,Older,Tegally et al P,,University of Cape Town and National Health Laboratory Service,Study: Rapid Diag POC Covid,
KEN/SS6138/2022,2022-01-21,,21K (Omicron),,1.28,Kenya,Africa,Kenya,ON198514,Homo sapiens,BA.1.1,28,202203,,Older,Githinji et al V,,,,
FRA/IHUCOVID-065321_Nova1/2022,2022-01-20,,21K (Omicron),,1.29,France,Europe,France,ON267945,Homo sapiens,BA.1.1.1,28,202203,,Older,Levasseur et al U,,,,
OW814142,2022-02-04,,21K (Omicron),,1.31,Germany,Europe,Bavaria,OW814142,Homo sapiens,BA.1.1.1,28,202205,,Older,? D,,Robert Koch Institute,"IMD - MVZ Labor Martinsried, Lochhamer Str. 29; 82152 Martinsried",
NOR/Bergen-05/2022,2022-01-03,,21K (Omicron),,1.3,Norway,Europe,Vestland,ON222956,Homo sapiens,BA.1.1.1,28,202201,,Older,Brokstad et al,,,,
Switzerland/ZH-ETHZ-36399818/2022,2022-02-17,,21K (Omicron),,1.29,Switzerland,Europe,Zürich,OW052554,Homo sapiens,BA.1.1.1,28,202207,,Older,? AM,,ETH ZURICH D-BSSE,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",
PER/ABP0012/2022,2022-01-18,,21K (Omicron),,1.24,Peru,South America,Peru,OM988117,Homo sapiens,BA.1.1.1,26,202203,,Older,Kosek et al F,,,,
KEN/SS7899/2022,2022-01-23,,21K (Omicron),,1.29,Kenya,Africa,Kenya,ON602948,Homo sapiens,BA.1.1.1,28,202204,,Older,Githinji et al W,,,,
KEN/SS6894/2022,2022-01-18,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198892,Homo sapiens,BA.1.1.1,28,202203,,Older,Githinji et al X,,,,
KEN/SS6785/2022,2022-01-19,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198828,Homo sapiens,BA.1.1.1,28,202203,,Older,Githinji et al Y,,,,
KEN/SS6906/2022,2022-02-03,,21K (Omicron),,1.3,Kenya,Africa,Kenya,ON198903,Homo sapiens,BA.1.1.1,28,202205,,Older,Githinji et al Z,,,,
